Seed,Fold,Baseline,Topk,Explainer,Lambda_1,Lambda_2,Accuracy,Comprehensiveness,Cross Entropy,Log Odds,Sufficiency
42,2,Average,0.2,deep_lift,1.0,1.0,0.9867,-0.001579,0.09512,-0.0006795,0.004102
42,2,Average,0.2,dyna_mask,1.0,1.0,0.9896,0.0001127,0.09608,-0.001649,0.002979
42,2,Average,0.2,extremal_mask,1.0,1.0,0.9841,0.01306,0.1124,-0.02175,-0.01008
42,2,Average,0.2,integrated_gradients,1.0,1.0,0.9863,-0.0008403,0.09632,-0.001887,0.003335
42,2,Average,0.2,gradient_shap,1.0,1.0,0.9904,-0.002668,0.08579,0.0003943,0.004508
42,2,Average,0.2,lime,1.0,1.0,0.9952,-0.001385,0.09302,0.001415,0.003875
42,2,Average,0.2,augmented_occlusion,1.0,1.0,0.9878,-0.0003794,0.09662,-0.002183,0.002746
42,2,Average,0.2,occlusion,1.0,1.0,0.9865,-0.002405,0.09468,-0.0002455,0.005341
42,2,Average,0.2,retain,1.0,1.0,0.9878,-0.003692,0.09333,0.001103,0.007677
42,2,Average,0.3,deep_lift,1.0,1.0,0.9852,-0.001748,0.09551,-0.001071,0.004093
42,2,Average,0.3,dyna_mask,1.0,1.0,0.9887,-0.0002236,0.09602,-0.001582,0.00398
42,2,Average,0.3,extremal_mask,1.0,1.0,0.9837,0.01306,0.1123,-0.02165,-0.01013
42,2,Average,0.3,integrated_gradients,1.0,1.0,0.985,-0.001181,0.09649,-0.002053,0.003534
42,2,Average,0.3,gradient_shap,1.0,1.0,0.988,-0.002353,0.08646,-0.0002791,0.00415
42,2,Average,0.3,lime,1.0,1.0,0.993,-0.001442,0.09323,0.001203,0.004135
42,2,Average,0.3,augmented_occlusion,1.0,1.0,0.9859,-8.562e-05,0.09764,-0.003207,0.00214
42,2,Average,0.3,occlusion,1.0,1.0,0.9867,-0.002305,0.09539,-0.0009533,0.005031
42,2,Average,0.3,retain,1.0,1.0,0.9865,-0.004003,0.09335,0.001085,0.007558
42,2,Average,0.4,deep_lift,1.0,1.0,0.9856,-0.001585,0.09593,-0.001493,0.003797
42,2,Average,0.4,dyna_mask,1.0,1.0,0.9876,-0.0001465,0.0965,-0.002067,0.0043
42,2,Average,0.4,extremal_mask,1.0,1.0,0.9841,0.0129,0.112,-0.02139,-0.009847
42,2,Average,0.4,integrated_gradients,1.0,1.0,0.9854,-0.001093,0.09691,-0.002474,0.003496
42,2,Average,0.4,gradient_shap,1.0,1.0,0.9874,-0.001816,0.08723,-0.00105,0.003595
42,2,Average,0.4,lime,1.0,1.0,0.9846,0.003678,0.1021,-0.007697,0.004343
42,2,Average,0.4,augmented_occlusion,1.0,1.0,0.9854,0.000532,0.09899,-0.004559,0.001544
42,2,Average,0.4,occlusion,1.0,1.0,0.9848,-0.001717,0.09642,-0.001986,0.004234
42,2,Average,0.4,retain,1.0,1.0,0.9859,-0.003643,0.09395,0.0004887,0.006934
42,2,Average,0.5,deep_lift,1.0,1.0,0.9841,-0.0009899,0.0971,-0.002667,0.003327
