Seed,Noise,Activations,Explainer,Purity,Std_0,Std_1
24,0.15,softplus,enhanced_integrated_gradients_15,0.9968,0.2921,0.3008
24,0.15,softplus,gradient_shap,0.9744,5.596,2.058
24,0.15,softplus,integrated_gradients,0.9944,5.378,1.871
24,0.15,softplus,smooth_grad,0.9944,5.189,1.869
24,0.2,softplus,acc,0.9544
24,0.2,softplus,geodesic_integrated_gradients_5,0.9928,0.3645,0.2876
24,0.2,softplus,geodesic_integrated_gradients_10,0.992,0.3684,0.2859
24,0.2,softplus,geodesic_integrated_gradients_15,0.992,0.3713,0.2848
24,0.2,softplus,enhanced_integrated_gradients_5,0.9912,0.3027,0.3408
24,0.2,softplus,enhanced_integrated_gradients_10,0.9912,0.5683,0.3475
24,0.2,softplus,enhanced_integrated_gradients_15,0.9832,0.5648,0.5127
24,0.2,softplus,gradient_shap,0.9576,4.435,0.917
24,0.2,softplus,integrated_gradients,0.9704,4.326,0.8771
24,0.2,softplus,smooth_grad,0.968,4.232,0.9065
24,0.25,softplus,acc,0.9276
24,0.25,softplus,geodesic_integrated_gradients_5,0.9768,0.5468,0.2636
24,0.25,softplus,geodesic_integrated_gradients_10,0.9784,0.546,0.2589
24,0.25,softplus,geodesic_integrated_gradients_15,0.9784,0.5452,0.2595
24,0.25,softplus,enhanced_integrated_gradients_5,0.9672,0.8098,0.6663
24,0.25,softplus,enhanced_integrated_gradients_10,0.9192,0.9812,0.5143
24,0.25,softplus,enhanced_integrated_gradients_15,0.9144,1.261,0.4847
24,0.25,softplus,gradient_shap,0.8704,2.727,0.7486
24,0.25,softplus,integrated_gradients,0.8816,2.701,0.7234
24,0.25,softplus,smooth_grad,0.8688,2.682,0.7363
36,0.05,softplus,acc,0.9988
36,0.05,softplus,geodesic_integrated_gradients_5,0.9696,5.874e-05,0.05053
36,0.05,softplus,geodesic_integrated_gradients_10,0.9696,5.875e-05,0.0497
36,0.05,softplus,geodesic_integrated_gradients_15,0.9696,5.875e-05,0.04969
36,0.05,softplus,enhanced_integrated_gradients_5,0.9696,0.04649,0.05048
36,0.05,softplus,enhanced_integrated_gradients_10,0.9696,0.07857,0.04964
36,0.05,softplus,enhanced_integrated_gradients_15,0.9696,0.1196,0.04962
36,0.05,softplus,gradient_shap,0.8904,6.366,4.659
36,0.05,softplus,integrated_gradients,0.9088,6.198,4.078
36,0.05,softplus,smooth_grad,0.904,6.043,4.247
36,0.1,softplus,acc,0.9928
36,0.1,softplus,geodesic_integrated_gradients_5,0.9656,0.0741,0.3225
36,0.1,softplus,geodesic_integrated_gradients_10,0.9656,0.07728,0.2749
36,0.1,softplus,geodesic_integrated_gradients_15,0.9656,0.06379,0.2754
36,0.1,softplus,enhanced_integrated_gradients_5,0.9656,0.09217,0.3697
36,0.1,softplus,enhanced_integrated_gradients_10,0.9656,0.1022,0.2992
36,0.1,softplus,enhanced_integrated_gradients_15,0.9656,0.1053,0.2907
36,0.1,softplus,gradient_shap,0.8952,6.054,2.383
36,0.1,softplus,integrated_gradients,0.9008,5.941,2.254
36,0.1,softplus,smooth_grad,0.8976,5.748,2.273
36,0.15,softplus,acc,0.9832
36,0.15,softplus,geodesic_integrated_gradients_5,0.9768,0.2103,0.3398
36,0.15,softplus,geodesic_integrated_gradients_10,0.9752,0.1971,0.3399
36,0.15,softplus,geodesic_integrated_gradients_15,0.9752,0.2004,0.3391
36,0.15,softplus,enhanced_integrated_gradients_5,0.9784,0.2714,0.339
36,0.15,softplus,enhanced_integrated_gradients_10,0.9752,0.2253,0.392
36,0.15,softplus,enhanced_integrated_gradients_15,0.9728,0.2562,0.3722
36,0.15,softplus,gradient_shap,0.9456,6.134,1.357
36,0.15,softplus,integrated_gradients,0.9672,6.061,1.303
36,0.15,softplus,smooth_grad,0.9624,5.94,1.358
36,0.2,softplus,acc,0.9652
36,0.2,softplus,geodesic_integrated_gradients_5,0.9504,0.1877,0.5062
36,0.2,softplus,geodesic_integrated_gradients_10,0.9488,0.1756,0.5041
36,0.2,softplus,geodesic_integrated_gradients_15,0.9472,0.1725,0.504
36,0.2,softplus,enhanced_integrated_gradients_5,0.9728,0.2193,0.5641
